CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,Country,Recency,Tenure,AvgOrderValue,CancellationRate,Churned,R_Score,F_Score,M_Score,Segment,ChurnProbability
12347,2011-11-12 11:52:00,2011-02-19 12:53:00,32,8924.21,United Kingdom,28,265,278.88,0.0,0,4,5,5,Champions,0.55
12348,2011-11-27 09:00:00,2011-02-14 08:41:00,16,3633.09,United Kingdom,13,286,227.07,0.0,0,5,4,4,Champions,0.0
12349,2011-12-09 19:02:00,2011-02-14 17:57:00,27,7912.58,United Kingdom,1,298,293.06,0.0,0,5,5,5,Champions,0.0
12350,2011-11-20 17:46:00,2011-02-03 15:27:00,36,9385.83,Germany,20,290,260.72,0.0,0,4,5,5,Champions,0.0
12351,2011-12-02 10:16:00,2011-02-05 09:51:00,38,10362.59,United Kingdom,8,300,272.7,0.0345,0,5,5,5,Champions,0.0
12352,2011-11-10 11:36:00,2011-01-31 14:45:00,37,10384.43,United Kingdom,30,282,280.66,0.0577,0,4,5,5,Champions,0.0
12353,2011-12-05 08:50:00,2011-02-13 09:37:00,19,5502.94,United Kingdom,5,294,289.63,0.0,0,5,4,4,Champions,0.0
12354,2011-11-09 19:52:00,2011-02-06 17:56:00,34,8135.06,United Kingdom,31,276,239.27,0.0,0,4,5,5,Champions,0.0
12355,2011-12-03 12:00:00,2011-02-26 12:55:00,33,9487.35,United Kingdom,7,279,287.5,0.0,0,5,5,5,Champions,0.0
12356,2011-11-10 18:14:00,2011-01-28 14:31:00,35,9577.68,Ireland,30,286,273.65,0.0023,0,4,5,5,Champions,0.0
12357,2011-11-23 18:27:00,2011-02-04 14:22:00,32,8300.69,United Kingdom,17,292,259.4,0.0147,0,4,5,5,Champions,0.0
12358,2011-11-27 10:17:00,2011-02-13 09:36:00,31,8479.07,United Kingdom,13,287,273.52,0.0363,0,5,5,5,Champions,0.0
12359,2011-11-09 07:55:00,2011-01-25 08:33:00,33,7910.6,United Kingdom,31,287,239.72,0.0361,0,4,5,5,Champions,0.0
12360,2011-11-11 11:44:00,2011-01-22 07:57:00,20,6186.38,United Kingdom,29,293,309.32,0.0421,0,4,4,4,Champions,0.0
12361,2011-12-06 16:18:00,2011-02-12 15:56:00,36,9947.88,United Kingdom,4,297,276.33,0.0,0,5,5,5,Champions,0.0
12362,2011-11-17 10:59:00,2011-01-25 15:08:00,39,10238.27,United Kingdom,23,295,262.52,0.0,0,4,5,5,Champions,0.0
12363,2011-11-28 15:27:00,2011-02-10 15:16:00,31,8284.73,United Kingdom,12,291,267.25,0.0,0,5,5,5,Champions,0.0
12364,2011-11-15 08:36:00,2011-01-26 12:59:00,15,4873.83,United Kingdom,25,292,324.92,0.0,0,4,4,4,Champions,0.0
12365,2011-11-11 13:06:00,2011-01-21 13:44:00,34,8657.38,United Kingdom,29,293,254.63,0.0,0,4,5,5,Champions,0.0
12366,2011-11-26 12:40:00,2011-02-06 13:57:00,24,7134.6,United Kingdom,14,292,297.28,0.0499,0,5,5,5,Champions,0.0
12367,2011-11-18 07:48:00,2011-02-04 18:42:00,23,6353.48,Ireland,22,286,276.24,0.0285,0,4,4,5,Champions,0.0
12368,2011-11-11 08:57:00,2011-02-07 09:50:00,36,9805.9,United Kingdom,29,276,272.39,0.0136,0,4,5,5,Champions,0.0
12369,2011-12-02 19:16:00,2011-02-18 17:10:00,38,10392.3,United Kingdom,8,287,273.48,0.0185,0,5,5,5,Champions,0.0
12370,2011-11-13 19:24:00,2011-01-31 11:29:00,31,6899.94,Ireland,27,286,222.58,0.0,0,4,5,5,Champions,0.0
12371,2011-12-09 07:54:00,2011-02-12 14:16:00,20,4760.18,United Kingdom,1,299,238.01,0.0039,0,5,4,4,Champions,0.0
12372,2011-12-04 14:00:00,2011-02-07 11:46:00,23,6561.49,United Kingdom,6,300,285.28,0.0,0,5,4,5,Champions,0.0
12373,2011-11-14 11:10:00,2011-02-06 07:23:00,19,5047.56,Germany,26,281,265.66,0.0,0,4,4,4,Champions,0.0
12374,2011-12-08 19:34:00,2011-02-21 17:38:00,20,5514.87,Germany,2,290,275.74,0.0,0,5,4,4,Champions,0.0
12375,2011-11-12 11:01:00,2011-01-22 09:33:00,24,7532.03,Ireland,28,294,313.83,0.0,0,4,5,5,Champions,0.0
12376,2011-12-07 18:54:00,2011-02-19 09:06:00,28,8013.44,United Kingdom,3,291,286.19,0.0,0,5,5,5,Champions,0.0
12377,2011-12-01 11:20:00,2011-02-08 13:20:00,30,8121.15,Ireland,9,295,270.7,0.0,0,5,5,5,Champions,0.0
12378,2011-11-15 16:05:00,2011-01-19 07:57:00,34,8408.18,Ireland,25,300,247.3,0.0146,0,4,5,5,Champions,0.0
12379,2011-12-02 15:32:00,2011-02-10 08:39:00,27,7478.88,United Kingdom,8,295,277.0,0.0,0,5,5,5,Champions,0.0
12380,2011-12-05 15:20:00,2011-02-08 19:19:00,34,8314.73,United Kingdom,5,299,244.55,0.0,0,5,5,5,Champions,0.0
12381,2011-11-09 18:05:00,2011-01-27 09:45:00,25,7033.49,United Kingdom,31,286,281.34,0.0224,0,4,5,5,Champions,0.0
12382,2011-11-28 16:49:00,2011-02-12 08:04:00,35,8656.74,United Kingdom,12,289,247.34,0.0093,0,5,5,5,Champions,0.0
12383,2011-11-11 14:03:00,2011-01-22 11:24:00,39,11430.12,Ireland,29,293,293.08,0.0,0,4,5,5,Champions,0.0
12384,2011-11-17 10:13:00,2011-02-01 16:14:00,31,6735.58,United Kingdom,23,288,217.28,0.0,0,4,5,5,Champions,0.0
12385,2011-12-08 11:59:00,2011-02-15 14:12:00,22,5517.47,United Kingdom,2,295,250.79,0.031,0,5,4,4,Champions,0.0
12386,2011-11-30 14:44:00,2011-02-06 07:20:00,33,8693.91,United Kingdom,10,297,263.45,0.0272,0,5,5,5,Champions,0.0
12387,2011-12-01 16:39:00,2011-02-04 14:44:00,30,9562.68,United Kingdom,9,300,318.76,0.0,0,5,5,5,Champions,0.0
12388,2011-11-26 11:49:00,2011-01-31 19:47:00,20,5404.17,United Kingdom,14,298,270.21,0.0,0,5,4,4,Champions,0.0
12389,2011-11-28 11:15:00,2011-02-12 18:28:00,35,10151.46,United Kingdom,12,288,290.04,0.0245,0,5,5,5,Champions,0.0
12390,2011-11-08 15:41:00,2011-01-21 13:12:00,32,9128.08,Ireland,32,291,285.25,0.0096,0,4,5,5,Champions,0.0
12391,2011-12-01 10:37:00,2011-02-07 11:09:00,29,7622.42,United Kingdom,9,296,262.84,0.0398,0,5,5,5,Champions,0.0
