InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,LineTotal
554786,22178,VICTORIAN GLASS HANGING T-LIGHT,3,2011-09-14 19:56:00,1.35,14245,United Kingdom,4.05
540892,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2011-06-19 19:24:00,1.54,13367,United Kingdom,23.1
536520,71053,WHITE METAL LANTERN,9,2011-02-07 17:04:00,3.64,13144,United Kingdom,32.76
554190,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-09-13 15:06:00,1.67,13310,United Kingdom,5.01
538475,22178,VICTORIAN GLASS HANGING T-LIGHT,17,2011-08-18 16:55:00,1.37,12883,United Kingdom,23.29
555989,20725,LUNCH BAG RED RETROSPOT,4,2011-02-04 19:09:00,1.78,13044,Belgium,7.12
580023,20727,LUNCH BAG BLACK SKULL.,4,2011-02-10 15:10:00,1.5,13883,United Kingdom,6.0
547670,21071,VINTAGE BILLBOARD DRINK ME MUG,12,2011-04-05 19:16:00,1.16,13763,United Kingdom,13.92
573078,22632,HAND WARMER RED POLKA DOT,3,2011-05-27 15:28:00,1.71,13181,Spain,5.13
545805,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-08-29 15:26:00,1.68,14644,United Kingdom,10.08
567793,22960,JAM MAKING SET WITH JARS,2,2010-12-02 15:58:00,4.84,15540,United Kingdom,9.68
563684,21071,VINTAGE BILLBOARD DRINK ME MUG,3,2011-02-23 14:40:00,1.03,13086,Germany,3.09
571506,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-02-10 14:28:00,0.4,12771,United Kingdom,0.4
546438,22178,VICTORIAN GLASS HANGING T-LIGHT,3,2011-08-06 09:13:00,1.34,14140,United Kingdom,4.02
552384,21931,JUMBO STORAGE BAG SUKI,8,2011-04-24 08:54:00,1.87,13183,United Kingdom,14.96
551725,23084,RABBIT NIGHT LIGHT,2,2010-12-03 07:01:00,1.88,14760,United Kingdom,3.76
555729,22383,LUNCH BAG SUKI DESIGN,9,2011-01-11 10:24:00,1.85,13780,United Kingdom,16.65
566494,22961,JAM MAKING SET PRINTED,7,2011-03-03 13:07:00,1.48,12773,United Kingdom,10.36
586825,22138,BAKING SET 9 PIECE RETROSPOT,6,2011-02-15 17:21:00,4.92,16059,United Kingdom,29.52
536590,21931,JUMBO STORAGE BAG SUKI,1,2011-02-26 10:53:00,2.2,13825,United Kingdom,2.2
548255,22138,BAKING SET 9 PIECE RETROSPOT,1,2011-09-12 09:10:00,4.57,13346,United Kingdom,4.57
547932,23203,JUMBO BAG DOILEY PATTERNS,12,2011-07-11 16:05:00,2.08,12584,United Kingdom,24.96
542606,71053,WHITE METAL LANTERN,7,2011-11-12 07:21:00,3.52,14099,Germany,24.64
555010,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-06-09 11:15:00,3.04,13840,Germany,15.2
572267,22197,SMALL POPCORN HOLDER,6,2011-05-20 17:47:00,0.93,13577,France,5.58
580524,20725,LUNCH BAG RED RETROSPOT,2,2011-04-10 13:55:00,1.63,12928,Belgium,3.26
573195,23084,RABBIT NIGHT LIGHT,12,2011-05-04 11:57:00,2.36,13349,United Kingdom,28.32
566338,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-14 17:16:00,4.55,15951,United Kingdom,18.2
578976,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-03-16 17:59:00,4.13,13556,United Kingdom,4.13
577564,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-14 17:55:00,2.75,14068,United Kingdom,16.5
577440,22197,SMALL POPCORN HOLDER,16,2011-04-13 07:43:00,0.97,13400,United Kingdom,15.52
583604,22178,VICTORIAN GLASS HANGING T-LIGHT,4,2011-05-13 13:45:00,1.37,15497,United Kingdom,5.48
554025,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-10 11:57:00,1.88,14049,United Kingdom,1.88
577105,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,2011-11-01 07:42:00,2.19,14660,United Kingdom,10.95
540273,22752,SET 7 BABUSHKA NESTING BOXES,9,2011-06-18 10:00:00,7.46,13601,United Kingdom,67.14
542870,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-19 16:49:00,3.9,13846,United Kingdom,3.9
554883,23203,JUMBO BAG DOILEY PATTERNS,14,2011-06-03 15:18:00,2.0,12427,United Kingdom,28.0
552129,20727,LUNCH BAG BLACK SKULL.,2,2011-08-25 15:59:00,1.57,14566,United Kingdom,3.14
542590,22632,HAND WARMER RED POLKA DOT,10,2011-02-10 08:34:00,1.9,13076,United Kingdom,19.0
556579,22178,VICTORIAN GLASS HANGING T-LIGHT,3,2011-07-05 08:50:00,1.25,12983,United Kingdom,3.75
553391,23298,SPOTTY BUNTING,8,2011-02-13 19:49:00,5.1,13466,Portugal,40.8
584702,22197,SMALL POPCORN HOLDER,1,2011-05-30 12:13:00,0.77,12847,United Kingdom,0.77
576877,22752,SET 7 BABUSHKA NESTING BOXES,8,2011-10-12 11:19:00,8.31,13182,United Kingdom,66.48
581946,22752,SET 7 BABUSHKA NESTING BOXES,11,2011-04-17 07:18:00,8.4,13448,United Kingdom,92.4
549961,22178,VICTORIAN GLASS HANGING T-LIGHT,8,2011-11-10 17:47:00,1.22,13271,United Kingdom,9.76
584132,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-02-10 13:19:00,3.21,12410,France,16.05
539562,21931,JUMBO STORAGE BAG SUKI,15,2011-10-31 18:44:00,1.89,13221,United Kingdom,28.35
557725,22197,SMALL POPCORN HOLDER,2,2010-12-08 12:59:00,0.88,15585,United Kingdom,1.76
578379,22632,HAND WARMER RED POLKA DOT,1,2011-02-26 07:18:00,1.78,14565,United Kingdom,1.78
554336,22632,HAND WARMER RED POLKA DOT,2,2011-02-27 13:11:00,1.99,14851,United Kingdom,3.98
539698,21071,VINTAGE BILLBOARD DRINK ME MUG,4,2011-06-03 16:58:00,1.07,14300,United Kingdom,4.28
536389,23084,RABBIT NIGHT LIGHT,17,2011-05-01 08:30:00,2.37,12458,United Kingdom,40.29
550707,22752,SET 7 BABUSHKA NESTING BOXES,6,2010-12-14 15:35:00,8.2,13475,Germany,49.2
577918,22960,JAM MAKING SET WITH JARS,1,2011-10-28 12:10:00,4.25,12552,United Kingdom,4.25
565020,21755,LOVE BUILDING BLOCK WORD,4,2011-04-12 18:59:00,6.1,13393,Netherlands,24.4
549742,22960,JAM MAKING SET WITH JARS,13,2010-12-22 14:34:00,4.12,13725,United Kingdom,53.56
547396,23084,RABBIT NIGHT LIGHT,3,2010-12-04 07:18:00,2.18,15604,Ireland,6.54
542077,21754,HOME BUILDING BLOCK WORD,2,2010-12-18 11:13:00,5.5,13452,United Kingdom,11.0
544119,22178,VICTORIAN GLASS HANGING T-LIGHT,13,2010-12-08 08:15:00,1.42,13875,Ireland,18.46
567122,22961,JAM MAKING SET PRINTED,9,2011-02-10 15:22:00,1.52,13729,United Kingdom,13.68
553677,21755,LOVE BUILDING BLOCK WORD,8,2010-12-16 09:16:00,5.6,13557,United Kingdom,44.8
584059,21755,LOVE BUILDING BLOCK WORD,7,2010-12-24 09:41:00,5.66,13887,Germany,39.62
559350,22138,BAKING SET 9 PIECE RETROSPOT,1,2011-02-15 11:00:00,5.22,13242,United Kingdom,5.22
549221,23203,JUMBO BAG DOILEY PATTERNS,15,2011-10-23 18:10:00,1.97,13372,United Kingdom,29.55
573414,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2011-02-22 19:49:00,1.87,12748,Portugal,9.35
549106,22752,SET 7 BABUSHKA NESTING BOXES,10,2011-03-27 19:00:00,8.14,12495,United Kingdom,81.4
572121,22752,SET 7 BABUSHKA NESTING BOXES,11,2011-02-14 11:28:00,8.79,13222,Spain,96.69
552695,84406B,CREAM CUPID HEARTS COAT HANGER,3,2010-12-18 09:35:00,2.59,13563,United Kingdom,7.77
542485,21755,LOVE BUILDING BLOCK WORD,8,2011-03-13 14:54:00,6.79,13445,United Kingdom,54.32
586845,21931,JUMBO STORAGE BAG SUKI,10,2011-11-04 12:08:00,1.83,12406,United Kingdom,18.3
574839,21755,LOVE BUILDING BLOCK WORD,5,2010-12-20 14:41:00,5.81,13792,United Kingdom,29.05
536651,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2011-04-03 10:45:00,2.67,13140,Ireland,24.03
570260,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-14 07:41:00,3.92,13412,United Kingdom,47.04
581775,85099B,JUMBO BAG RED RETROSPOT,2,2011-06-27 09:28:00,1.96,12390,Ireland,3.92
579841,22383,LUNCH BAG SUKI DESIGN,9,2010-12-23 09:09:00,1.75,13536,United Kingdom,15.75
573691,20725,LUNCH BAG RED RETROSPOT,18,2011-09-14 14:18:00,1.74,12692,United Kingdom,31.32
550942,23203,JUMBO BAG DOILEY PATTERNS,5,2010-12-24 13:01:00,2.3,15513,United Kingdom,11.5
561318,21754,HOME BUILDING BLOCK WORD,8,2010-12-11 13:54:00,6.03,15555,United Kingdom,48.24
577724,71053,WHITE METAL LANTERN,10,2010-12-07 12:17:00,3.61,13472,Belgium,36.1
539880,21755,LOVE BUILDING BLOCK WORD,6,2011-03-02 18:12:00,5.44,13535,United Kingdom,32.64
546438,21754,HOME BUILDING BLOCK WORD,2,2011-08-06 09:13:00,6.14,14140,United Kingdom,12.28
545925,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2011-03-13 08:17:00,2.8,12492,United Kingdom,16.8
573972,21931,JUMBO STORAGE BAG SUKI,1,2011-09-21 14:56:00,1.81,12703,United Kingdom,1.81
586689,22632,HAND WARMER RED POLKA DOT,3,2011-03-20 12:59:00,1.98,13002,United Kingdom,5.94
550876,71053,WHITE METAL LANTERN,1,2011-03-07 14:33:00,3.65,14418,United Kingdom,3.65
563295,23084,RABBIT NIGHT LIGHT,7,2011-09-12 18:55:00,1.93,13027,Ireland,13.51
567362,22633,HAND WARMER UNION JACK,15,2011-07-05 09:34:00,1.83,13064,Belgium,27.45
551148,20727,LUNCH BAG BLACK SKULL.,7,2011-09-12 12:43:00,1.65,12868,United Kingdom,11.55
551543,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-03-11 09:07:00,2.27,12667,Germany,22.7
547285,22960,JAM MAKING SET WITH JARS,4,2011-07-28 15:49:00,3.9,12376,United Kingdom,15.6
578681,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-03-01 07:35:00,2.99,13901,United Kingdom,2.99
574635,22632,HAND WARMER RED POLKA DOT,6,2010-12-19 07:23:00,1.85,13589,United Kingdom,11.1
584422,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2011-09-17 12:56:00,1.61,12465,United Kingdom,8.05
538552,22633,HAND WARMER UNION JACK,8,2011-03-11 16:49:00,1.71,13506,United Kingdom,13.68
565284,23298,SPOTTY BUNTING,6,2011-06-20 11:49:00,5.63,13718,Netherlands,33.78
550236,21754,HOME BUILDING BLOCK WORD,16,2010-12-25 16:38:00,6.36,13761,France,101.76
555319,22633,HAND WARMER UNION JACK,5,2011-04-08 16:37:00,1.98,14346,United Kingdom,9.9
574635,84029E,RED WOOLLY HOTTIE WHITE HEART,21,2010-12-19 07:23:00,3.52,13589,United Kingdom,73.92
575476,85099B,JUMBO BAG RED RETROSPOT,6,2011-02-04 19:22:00,2.11,14799,Germany,12.66
562283,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-06-29 19:37:00,2.62,12941,United Kingdom,10.48
574443,23298,SPOTTY BUNTING,7,2011-05-20 07:07:00,5.25,12828,United Kingdom,36.75
575597,23203,JUMBO BAG DOILEY PATTERNS,10,2011-03-16 17:15:00,1.99,13493,United Kingdom,19.9
553501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-05-03 09:42:00,2.83,12670,United Kingdom,2.83
586700,22383,LUNCH BAG SUKI DESIGN,12,2011-06-30 13:38:00,1.51,13002,United Kingdom,18.12
577666,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-02-22 10:29:00,3.09,13629,United Kingdom,40.17
555584,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-29 11:41:00,1.81,12844,United Kingdom,1.81
586844,21071,VINTAGE BILLBOARD DRINK ME MUG,16,2011-07-02 17:43:00,1.02,12406,United Kingdom,16.32
585224,22138,BAKING SET 9 PIECE RETROSPOT,9,2010-12-13 18:14:00,5.57,13702,Ireland,50.13
567854,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2011-11-12 13:45:00,2.62,13142,United Kingdom,36.68
568455,71053,WHITE METAL LANTERN,5,2011-10-28 16:49:00,3.52,13290,Ireland,17.6
568806,71053,WHITE METAL LANTERN,8,2011-03-01 10:23:00,3.6,12642,United Kingdom,28.8
582110,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-12-14 14:31:00,8.71,13778,Germany,34.84
548866,21071,VINTAGE BILLBOARD DRINK ME MUG,9,2011-05-13 11:12:00,1.1,12836,France,9.9
558326,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-07-29 17:11:00,1.92,13309,Ireland,1.92
545505,22632,HAND WARMER RED POLKA DOT,1,2010-12-02 12:28:00,1.96,14981,United Kingdom,1.96
558113,23084,RABBIT NIGHT LIGHT,1,2011-03-11 18:10:00,2.07,15147,United Kingdom,2.07
569771,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2011-10-03 09:39:00,0.41,14593,United Kingdom,1.23
548064,22633,HAND WARMER UNION JACK,15,2011-07-25 07:05:00,1.89,12892,United Kingdom,28.35
573200,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-11-03 13:43:00,4.28,14014,France,4.28
542542,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-12-28 08:45:00,2.52,15094,United Kingdom,5.04
574316,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-11-21 07:11:00,3.14,13396,Germany,3.14
559874,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2010-12-24 12:20:00,0.44,14805,France,1.32
543554,22961,JAM MAKING SET PRINTED,3,2011-10-11 14:57:00,1.58,12980,United Kingdom,4.74
576966,21754,HOME BUILDING BLOCK WORD,7,2011-09-14 14:39:00,5.78,13168,United Kingdom,40.46
587269,23298,SPOTTY BUNTING,1,2010-12-27 10:57:00,5.14,13541,United Kingdom,5.14
536727,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-05-17 08:47:00,2.71,13842,United Kingdom,24.39
568980,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-01 09:48:00,1.92,15277,Ireland,1.92
541653,20725,LUNCH BAG RED RETROSPOT,8,2011-02-10 09:45:00,1.79,12814,United Kingdom,14.32
560096,22632,HAND WARMER RED POLKA DOT,19,2010-12-03 19:27:00,1.75,13723,United Kingdom,33.25
554614,23203,JUMBO BAG DOILEY PATTERNS,9,2011-02-20 11:37:00,2.29,13187,Germany,20.61
562904,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-03-25 15:54:00,2.65,13058,United Kingdom,34.45
583783,20725,LUNCH BAG RED RETROSPOT,1,2010-12-01 15:08:00,1.63,13798,United Kingdom,1.63
550566,23084,RABBIT NIGHT LIGHT,1,2011-02-13 07:57:00,2.04,12425,United Kingdom,2.04
543688,22960,JAM MAKING SET WITH JARS,4,2011-09-15 08:43:00,4.06,12548,United Kingdom,16.24
576928,21931,JUMBO STORAGE BAG SUKI,6,2011-02-24 12:39:00,2.06,14772,United Kingdom,12.36
540338,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-10 13:40:00,8.04,13902,United Kingdom,8.04
564108,85099B,JUMBO BAG RED RETROSPOT,17,2011-04-13 14:04:00,2.03,12929,United Kingdom,34.51
571667,22383,LUNCH BAG SUKI DESIGN,4,2011-08-18 07:34:00,1.66,16299,United Kingdom,6.64
586421,21071,VINTAGE BILLBOARD DRINK ME MUG,11,2011-05-11 11:04:00,1.14,13162,Ireland,12.54
553101,21931,JUMBO STORAGE BAG SUKI,2,2011-04-26 07:22:00,1.92,14692,United Kingdom,3.84
558787,21929,JUMBO BAG PINK VINTAGE PAISLEY,6,2010-12-15 09:06:00,2.24,13578,United Kingdom,13.44
580766,22138,BAKING SET 9 PIECE RETROSPOT,1,2011-04-05 18:46:00,5.4,15731,United Kingdom,5.4
586456,21754,HOME BUILDING BLOCK WORD,4,2011-12-01 18:45:00,6.18,13988,United Kingdom,24.72
541831,22383,LUNCH BAG SUKI DESIGN,8,2011-02-06 07:20:00,1.55,12443,United Kingdom,12.4
565608,22633,HAND WARMER UNION JACK,8,2011-07-25 10:33:00,2.1,12378,Ireland,16.8
579673,22383,LUNCH BAG SUKI DESIGN,9,2011-11-03 18:54:00,1.76,12371,United Kingdom,15.84
564642,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-09-14 07:18:00,2.24,12610,United Kingdom,22.4
562906,22383,LUNCH BAG SUKI DESIGN,1,2011-06-12 08:30:00,1.78,13058,United Kingdom,1.78
563619,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-08-06 16:49:00,2.34,14318,United Kingdom,9.36
585315,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-27 19:07:00,2.53,13756,United Kingdom,2.53
578618,85099B,JUMBO BAG RED RETROSPOT,17,2011-05-14 07:45:00,1.92,12451,United Kingdom,32.64
564293,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2011-03-16 16:56:00,0.38,12666,United Kingdom,4.94
553247,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2010-12-26 13:20:00,3.12,13476,United Kingdom,3.12
577517,22383,LUNCH BAG SUKI DESIGN,1,2010-12-06 10:52:00,1.81,13603,United Kingdom,1.81
574635,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-19 07:23:00,2.6,13589,United Kingdom,26.0
570927,22197,SMALL POPCORN HOLDER,5,2010-12-14 19:00:00,0.81,13679,United Kingdom,4.05
583520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-06-19 12:05:00,2.57,13704,United Kingdom,46.26
575745,21212,PACK OF 72 RETROSPOT CAKE CASES,10,2011-04-08 10:50:00,0.47,13788,United Kingdom,4.7
561256,20725,LUNCH BAG RED RETROSPOT,17,2011-09-14 08:10:00,1.75,12690,United Kingdom,29.75
547826,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2010-12-15 07:46:00,4.26,13531,United Kingdom,59.64
537255,22383,LUNCH BAG SUKI DESIGN,13,2011-02-28 14:22:00,1.77,13321,Ireland,23.01
546679,23203,JUMBO BAG DOILEY PATTERNS,4,2011-03-29 07:28:00,2.2,12436,United Kingdom,8.8
562598,22086,PAPER CHAIN KIT 50'S CHRISTMAS,18,2010-12-23 07:22:00,2.78,13433,United Kingdom,50.04
584813,23203,JUMBO BAG DOILEY PATTERNS,6,2011-03-16 16:02:00,1.99,12963,United Kingdom,11.94
571835,22961,JAM MAKING SET PRINTED,6,2011-05-20 08:06:00,1.35,13101,France,8.1
547399,22383,LUNCH BAG SUKI DESIGN,3,2010-12-07 18:17:00,1.79,15738,Ireland,5.37
567232,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-09-11 16:36:00,7.02,12784,United Kingdom,28.08
565601,22961,JAM MAKING SET PRINTED,3,2011-09-15 08:24:00,1.48,12378,Ireland,4.44
552180,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-10 10:39:00,1.7,12521,Ireland,1.7
585409,20727,LUNCH BAG BLACK SKULL.,1,2010-12-11 14:50:00,1.87,15790,United Kingdom,1.87
558822,22197,SMALL POPCORN HOLDER,9,2011-03-23 10:42:00,0.9,12681,United Kingdom,8.1
567013,71053,WHITE METAL LANTERN,10,2011-04-21 12:15:00,3.12,12433,United Kingdom,31.2
574563,21755,LOVE BUILDING BLOCK WORD,16,2011-08-07 09:17:00,6.68,12783,United Kingdom,106.88
551479,23084,RABBIT NIGHT LIGHT,1,2011-02-09 09:16:00,1.9,13015,United Kingdom,1.9
565308,20727,LUNCH BAG BLACK SKULL.,1,2011-09-13 13:40:00,1.76,14370,United Kingdom,1.76
556887,85099B,JUMBO BAG RED RETROSPOT,4,2011-11-01 10:53:00,2.02,13012,United Kingdom,8.08
