InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571557,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,08/06/2011 07:14,4.65,16326,United Kingdom
577279,23203,JUMBO BAG DOILEY PATTERNS,1,03/18/2011 13:53,2.38,15744,United Kingdom
547983,85099B,JUMBO BAG RED RETROSPOT,7,03/06/2011 14:49,2.0,13435,United Kingdom
571641,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/07/2011 09:03,3.76,13610,United Kingdom
544485,22383,LUNCH BAG SUKI DESIGN,4,09/15/2011 14:54,1.52,13976,Portugal
558532,23203,JUMBO BAG DOILEY PATTERNS,12,05/27/2011 16:19,2.06,12522,United Kingdom
564954,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,01/30/2011 14:55,3.64,12734,United Kingdom
579676,22752,SET 7 BABUSHKA NESTING BOXES,4,02/12/2011 14:16,7.84,12371,United Kingdom
582697,22423,REGENCY CAKESTAND 3 TIER,6,04/08/2011 07:33,14.06,12502,United Kingdom
552490,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,06/14/2011 11:18,2.96,13197,United Kingdom
579350,21212,PACK OF 72 RETROSPOT CAKE CASES,12,06/30/2011 12:34,0.45,13602,Spain
558956,22138,BAKING SET 9 PIECE RETROSPOT,1,11/24/2011 08:51,5.49,,United Kingdom
582991,21754,HOME BUILDING BLOCK WORD,13,11/06/2011 15:24,5.87,12964,United Kingdom
560196,22633,HAND WARMER UNION JACK,9,12/03/2011 15:07,2.0,12874,United Kingdom
548080,21929,JUMBO BAG PINK VINTAGE PAISLEY,17,05/21/2011 07:46,2.27,12739,United Kingdom
558425,22752,SET 7 BABUSHKA NESTING BOXES,1,11/16/2011 09:16,7.44,12817,France
570751,21755,LOVE BUILDING BLOCK WORD,15,11/13/2011 17:57,6.12,12538,France
553537,23084,RABBIT NIGHT LIGHT,12,06/06/2011 18:05,2.07,13098,United Kingdom
556583,84879,ASSORTED COLOUR BIRD ORNAMENT,10,10/26/2011 15:02,1.93,12983,United Kingdom
576928,22633,HAND WARMER UNION JACK,4,02/24/2011 12:39,1.81,14772,United Kingdom
549512,22633,HAND WARMER UNION JACK,5,12/03/2010 10:16,2.01,15687,United Kingdom
581047,22633,HAND WARMER UNION JACK,1,12/24/2010 16:58,2.06,15083,United Kingdom
568842,84406B,CREAM CUPID HEARTS COAT HANGER,4,05/08/2011 15:46,3.12,14465,United Kingdom
568407,22960,JAM MAKING SET WITH JARS,1,02/26/2011 10:43,4.26,13202,United Kingdom
566320,85099B,JUMBO BAG RED RETROSPOT,5,06/15/2011 19:27,2.22,,United Kingdom
573474,22633,HAND WARMER UNION JACK,15,11/18/2011 19:32,1.88,12646,United Kingdom
543672,85099B,JUMBO BAG RED RETROSPOT,1,06/07/2011 09:13,2.08,12548,United Kingdom
561326,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/02/2010 18:56,2.69,15596,Netherlands
559032,21931,JUMBO STORAGE BAG SUKI,23,07/01/2011 18:21,2.14,,United Kingdom
556504,22752,SET 7 BABUSHKA NESTING BOXES,9,08/20/2011 16:03,8.5,12564,United Kingdom
575829,20727,LUNCH BAG BLACK SKULL.,14,03/05/2011 19:45,1.49,13711,Portugal
587348,22423,REGENCY CAKESTAND 3 TIER,5,03/28/2011 17:00,13.6,12396,Ireland
565272,21071,VINTAGE BILLBOARD DRINK ME MUG,4,02/17/2011 14:26,1.21,13133,United Kingdom
558159,21071,VINTAGE BILLBOARD DRINK ME MUG,11,08/20/2011 19:08,1.01,13029,United Kingdom
562882,21071,VINTAGE BILLBOARD DRINK ME MUG,4,07/05/2011 10:53,0.96,14671,Ireland
554320,22383,LUNCH BAG SUKI DESIGN,15,02/07/2011 07:54,1.79,,United Kingdom
547316,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,10/06/2011 09:02,1.9,14106,United Kingdom
574266,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,08/28/2011 18:17,2.74,13180,United Kingdom
582709,20727,LUNCH BAG BLACK SKULL.,4,08/07/2011 11:45,1.86,12502,United Kingdom
